Course Number,Course Name,Area,Econ,Tech,Intel,IS,Mil Ops,TSV,USNP,Other,Notes
SEST-6709,Cybersecurity Strategy:Public and Private Sector Persp,,,TECH,,,,,USNP,,
SEST-6711,Sec. Cooperation: Policy & Process,,,,,,MIL OPS,,,,
SEST-6712,Nuclear Weapons Technology,,,,,,,,,,*Skills based workshop; offered pass/fail; will appear on the transcript will not count toward degree requirments for graduation
SEST-6713,Russian Military Power,AREA,,,,IS,,,,,
SEST-6714,Intelligence/Law Enforcement in the Cyber Domain ,,,TECH,INTEL,,,,USNP,,
SEST-6715,Turkey/Russia/Iran: Hot Wars,AREA,,,,IS,,TSV,,,
SEST-6716,Foreign Intelligence Communities ,,,,INTEL,IS,,,,,
SEST-6717,Ethics and Intel Support to National Security ,,,,INTEL,,,TSV,USNP,,
SEST-6718,Intelligence and War,,,,INTEL,,MIL OPS,,USNP,,
SEST-6719,MNCs in International Security ,,ECON,,,IS,,,USNP,,
SEST-6720,Finance of Transnatl Threats ,,ECON,,,,,TSV,USNP,,
SEST-6721,National Security through Fiction,,,,,IS,MIL OPS,,USNP,,
SEST-6723,Transnational Crime ,,,,,IS,,,,,
SEST-6724,Security in the Nordic-Baltic Region,AREA,,,,IS,,,,,
SEST-6725,Tactical Innovation in Warfare,,,,,,MIL OPS,,,,
SEST-6727,Economic and Industrial Espionage,,ECON,,INTEL,,,,,,
SEST-6728,Russian Strategy in the Middle East ,AREA,,,,IS,,,,,
SEST-6729,Intro Statisics for Policymakers,,ECON,TECH,,,,,,,
SEST-6730 ,Emerging Tech & Nat Sec,,,TECH,,,,,,,
SEST-6731,Int Econ & National Security,,ECON,,,IS,,,,,
SEST-6732,Foreign Policy for Big Tech,,,TECH,,IS,,,,,
SEST-6733,The Story of Russian Power,AREA,,,,IS,,,,,
SEST-6735,Global AI Governance,,,TECH,,IS,,,,,
SEST-6736,Economics of Competitors & Adversaries,,ECON,,,IS,,,,,
SEST-6737,Who Will Rule the 21st Century,,,,,,,,USNP,,
SEST-6738,Russia and Its Military ,AREA,,,,IS,MIL OPS,,,,
SEST-6739,Introduction to CyberHUMINT,,,TECH,INTEL,,,,,,
SEST-6740,Competitive Comm Strategies,,,,,IS,,,USNP,,
SEST-6741,Online Terrorism,,,TECH,,,,TSV,,,
SEST-6742,Geopolitics of Energy,,ECON,,,IS,,,,,
SEST-6743,Sanctions in US Foreign Policy,,ECON,,,,,,USNP,,
SEST-6744,"Air power Ops & Theory: Bombs, Drones, and Hypersonics",,,TECH,,,MIL OPS,,,,
SEST-6745,Russian Propaganda & Influence,AREA,,,INTEL,IS,,,,,
SEST-6746,Cog Psych for Security Studies,,,,INTEL,,,,,,
